"Date and time","Solar radiation (W/m2)(A1)"
2024-09-05T05:00:00+0900,2
2024-09-05T04:50:00+0900,0
2024-09-05T04:40:00+0900,0
2024-09-05T04:30:00+0900,4
2024-09-05T04:20:00+0900,2
2024-09-05T04:10:00+0900,0
2024-09-05T04:00:00+0900,0
2024-09-05T03:50:00+0900,0
2024-09-05T03:40:00+0900,0
2024-09-05T03:30:00+0900,2
2024-09-05T03:20:00+0900,0
2024-09-05T03:10:00+0900,0
2024-09-05T03:00:00+0900,6
2024-09-05T02:50:00+0900,22
2024-09-05T02:40:00+0900,66
2024-09-05T02:30:00+0900,14
2024-09-05T02:20:00+0900,6
2024-09-05T02:10:00+0900,20
2024-09-05T02:00:00+0900,70
2024-09-05T01:50:00+0900,126
2024-09-05T01:40:00+0900,6
2024-09-05T01:30:00+0900,44
2024-09-05T01:20:00+0900,38
2024-09-05T01:10:00+0900,52
2024-09-05T01:00:00+0900,246
2024-09-05T00:50:00+0900,10
2024-09-05T00:40:00+0900,4
2024-09-05T00:30:00+0900,4
2024-09-05T00:20:00+0900,18
2024-09-05T00:10:00+0900,32
2024-09-05T00:00:00+0900,8
2024-09-04T23:50:00+0900,2
2024-09-04T23:40:00+0900,2
2024-09-04T23:30:00+0900,2
2024-09-04T23:20:00+0900,18
2024-09-04T23:10:00+0900,12
2024-09-04T23:00:00+0900,46
2024-09-04T22:50:00+0900,22
2024-09-04T22:40:00+0900,18
2024-09-04T22:30:00+0900,6
2024-09-04T22:20:00+0900,2
2024-09-04T22:10:00+0900,2
2024-09-04T22:00:00+0900,4
2024-09-04T21:50:00+0900,4
2024-09-04T21:40:00+0900,8
2024-09-04T21:30:00+0900,54
2024-09-04T21:20:00+0900,40
2024-09-04T21:10:00+0900,82
2024-09-04T21:00:00+0900,274
2024-09-04T20:50:00+0900,346
2024-09-04T20:40:00+0900,262
2024-09-04T20:30:00+0900,182
2024-09-04T20:20:00+0900,78
2024-09-04T20:10:00+0900,104
2024-09-04T20:00:00+0900,66
2024-09-04T19:50:00+0900,52
2024-09-04T19:40:00+0900,58
2024-09-04T19:30:00+0900,30
2024-09-04T19:20:00+0900,16
2024-09-04T19:10:00+0900,8
2024-09-04T19:00:00+0900,4
2024-09-04T18:50:00+0900,2
2024-09-04T18:40:00+0900,0
2024-09-04T18:30:00+0900,0
2024-09-04T18:20:00+0900,0
2024-09-04T18:10:00+0900,0
2024-09-04T18:00:00+0900,0
2024-09-04T17:50:00+0900,0
2024-09-04T17:40:00+0900,0
2024-09-04T17:30:00+0900,0
2024-09-04T17:20:00+0900,0
2024-09-04T17:10:00+0900,0
2024-09-04T17:00:00+0900,0
2024-09-04T16:50:00+0900,0
2024-09-04T16:40:00+0900,0
2024-09-04T16:30:00+0900,0
2024-09-04T16:20:00+0900,0
2024-09-04T16:10:00+0900,0
2024-09-04T16:00:00+0900,0
2024-09-04T15:50:00+0900,0
2024-09-04T15:40:00+0900,0
2024-09-04T15:30:00+0900,0
2024-09-04T15:20:00+0900,0
2024-09-04T15:10:00+0900,0
2024-09-04T15:00:00+0900,0
2024-09-04T14:50:00+0900,0
2024-09-04T14:40:00+0900,0
2024-09-04T14:30:00+0900,0
2024-09-04T14:20:00+0900,0
2024-09-04T14:10:00+0900,0
2024-09-04T14:00:00+0900,0
2024-09-04T13:50:00+0900,0
2024-09-04T13:40:00+0900,0
2024-09-04T13:30:00+0900,0
2024-09-04T13:20:00+0900,0
2024-09-04T13:10:00+0900,0
2024-09-04T13:00:00+0900,0
2024-09-04T12:50:00+0900,0
2024-09-04T12:40:00+0900,0
2024-09-04T12:30:00+0900,0
2024-09-04T12:20:00+0900,0
2024-09-04T12:10:00+0900,0
2024-09-04T12:00:00+0900,0
2024-09-04T11:50:00+0900,0
2024-09-04T11:40:00+0900,0
2024-09-04T11:30:00+0900,0
2024-09-04T11:20:00+0900,0
2024-09-04T11:10:00+0900,0
2024-09-04T11:00:00+0900,0
2024-09-04T10:50:00+0900,0
2024-09-04T10:40:00+0900,0
2024-09-04T10:30:00+0900,0
2024-09-04T10:20:00+0900,0
2024-09-04T10:10:00+0900,0
2024-09-04T10:00:00+0900,0
2024-09-04T09:50:00+0900,0
2024-09-04T09:40:00+0900,0
2024-09-04T09:30:00+0900,0
2024-09-04T09:20:00+0900,0
2024-09-04T09:10:00+0900,0
2024-09-04T09:00:00+0900,0
2024-09-04T08:50:00+0900,0
2024-09-04T08:40:00+0900,0
2024-09-04T08:30:00+0900,0
2024-09-04T08:20:00+0900,0
2024-09-04T08:10:00+0900,0
2024-09-04T08:00:00+0900,0
2024-09-04T07:50:00+0900,0
2024-09-04T07:40:00+0900,0
2024-09-04T07:30:00+0900,0
2024-09-04T07:20:00+0900,0
2024-09-04T07:10:00+0900,0
2024-09-04T07:00:00+0900,0
2024-09-04T06:50:00+0900,0
2024-09-04T06:40:00+0900,0
2024-09-04T06:30:00+0900,0
2024-09-04T06:20:00+0900,4
2024-09-04T06:10:00+0900,14
2024-09-04T06:00:00+0900,22
2024-09-04T05:50:00+0900,26
2024-09-04T05:40:00+0900,42
2024-09-04T05:30:00+0900,54
2024-09-04T05:20:00+0900,78
2024-09-04T05:10:00+0900,126
2024-09-04T05:00:00+0900,142
2024-09-04T04:50:00+0900,174
2024-09-04T04:40:00+0900,194
2024-09-04T04:30:00+0900,224
2024-09-04T04:20:00+0900,248
2024-09-04T04:10:00+0900,246
2024-09-04T04:00:00+0900,262
2024-09-04T03:50:00+0900,286
2024-09-04T03:40:00+0900,380
2024-09-04T03:30:00+0900,396
2024-09-04T03:20:00+0900,424
2024-09-04T03:10:00+0900,442
2024-09-04T03:00:00+0900,504
2024-09-04T02:50:00+0900,546
2024-09-04T02:40:00+0900,570
2024-09-04T02:30:00+0900,628
2024-09-04T02:20:00+0900,658
2024-09-04T02:10:00+0900,670
2024-09-04T02:00:00+0900,688
2024-09-04T01:50:00+0900,708
2024-09-04T01:40:00+0900,716
2024-09-04T01:30:00+0900,726
2024-09-04T01:20:00+0900,726
2024-09-04T01:10:00+0900,746
2024-09-04T01:00:00+0900,742
2024-09-04T00:50:00+0900,746
2024-09-04T00:40:00+0900,738
2024-09-04T00:30:00+0900,746
2024-09-04T00:20:00+0900,744
2024-09-04T00:10:00+0900,734
2024-09-04T00:00:00+0900,730
2024-09-03T23:50:00+0900,712
2024-09-03T23:40:00+0900,688
2024-09-03T23:30:00+0900,664
2024-09-03T23:20:00+0900,646
2024-09-03T23:10:00+0900,638
2024-09-03T23:00:00+0900,628
2024-09-03T22:50:00+0900,596
2024-09-03T22:40:00+0900,568
2024-09-03T22:30:00+0900,556
2024-09-03T22:20:00+0900,364
2024-09-03T22:10:00+0900,534
2024-09-03T22:00:00+0900,298
2024-09-03T21:50:00+0900,434
2024-09-03T21:40:00+0900,406
2024-09-03T21:30:00+0900,392
2024-09-03T21:20:00+0900,362
2024-09-03T21:10:00+0900,330
2024-09-03T21:00:00+0900,300
2024-09-03T20:50:00+0900,270
2024-09-03T20:40:00+0900,238
2024-09-03T20:30:00+0900,210
2024-09-03T20:20:00+0900,174
2024-09-03T20:10:00+0900,148
2024-09-03T20:00:00+0900,96
2024-09-03T19:50:00+0900,94
2024-09-03T19:40:00+0900,72
2024-09-03T19:30:00+0900,52
2024-09-03T19:20:00+0900,34
2024-09-03T19:10:00+0900,20
2024-09-03T19:00:00+0900,10
2024-09-03T18:50:00+0900,2
2024-09-03T18:40:00+0900,0
2024-09-03T18:30:00+0900,0
2024-09-03T18:20:00+0900,0
2024-09-03T18:10:00+0900,0
2024-09-03T18:00:00+0900,0
2024-09-03T17:50:00+0900,0
2024-09-03T17:40:00+0900,0
2024-09-03T17:30:00+0900,0
2024-09-03T17:20:00+0900,0
2024-09-03T17:10:00+0900,0
2024-09-03T17:00:00+0900,0
2024-09-03T16:50:00+0900,0
2024-09-03T16:40:00+0900,0
2024-09-03T16:30:00+0900,0
2024-09-03T16:20:00+0900,0
2024-09-03T16:10:00+0900,0
2024-09-03T16:00:00+0900,0
2024-09-03T15:50:00+0900,0
2024-09-03T15:40:00+0900,0
2024-09-03T15:30:00+0900,0
2024-09-03T15:20:00+0900,0
2024-09-03T15:10:00+0900,0
2024-09-03T15:00:00+0900,0
2024-09-03T14:50:00+0900,0
2024-09-03T14:40:00+0900,0
2024-09-03T14:30:00+0900,0
2024-09-03T14:20:00+0900,0
2024-09-03T14:10:00+0900,0
2024-09-03T14:00:00+0900,0
2024-09-03T13:50:00+0900,0
2024-09-03T13:40:00+0900,0
2024-09-03T13:30:00+0900,0
2024-09-03T13:20:00+0900,0
2024-09-03T13:10:00+0900,0
2024-09-03T13:00:00+0900,0
2024-09-03T12:50:00+0900,0
2024-09-03T12:40:00+0900,0
2024-09-03T12:30:00+0900,0
2024-09-03T12:20:00+0900,0
2024-09-03T12:10:00+0900,0
2024-09-03T12:00:00+0900,0
2024-09-03T11:50:00+0900,0
2024-09-03T11:40:00+0900,0
2024-09-03T11:30:00+0900,0
2024-09-03T11:20:00+0900,0
2024-09-03T11:10:00+0900,0
2024-09-03T11:00:00+0900,0
2024-09-03T10:50:00+0900,0
2024-09-03T10:40:00+0900,0
2024-09-03T10:30:00+0900,0
2024-09-03T10:20:00+0900,0
2024-09-03T10:10:00+0900,0
2024-09-03T10:00:00+0900,0
2024-09-03T09:50:00+0900,0
2024-09-03T09:40:00+0900,0
2024-09-03T09:30:00+0900,0
2024-09-03T09:20:00+0900,0
2024-09-03T09:10:00+0900,0
2024-09-03T09:00:00+0900,0
2024-09-03T08:50:00+0900,0
2024-09-03T08:40:00+0900,0
2024-09-03T08:30:00+0900,0
2024-09-03T08:20:00+0900,0
2024-09-03T08:10:00+0900,0
2024-09-03T08:00:00+0900,0
2024-09-03T07:50:00+0900,0
2024-09-03T07:40:00+0900,0
2024-09-03T07:30:00+0900,0
2024-09-03T07:20:00+0900,0
2024-09-03T07:10:00+0900,0
2024-09-03T07:00:00+0900,0
2024-09-03T06:50:00+0900,0
2024-09-03T06:40:00+0900,0
2024-09-03T06:30:00+0900,4
2024-09-03T06:20:00+0900,22
2024-09-03T06:10:00+0900,54
2024-09-03T06:00:00+0900,88
2024-09-03T05:50:00+0900,124
2024-09-03T05:40:00+0900,160
2024-09-03T05:30:00+0900,196
2024-09-03T05:20:00+0900,236
2024-09-03T05:10:00+0900,274
2024-09-03T05:00:00+0900,310
2024-09-03T04:50:00+0900,348
2024-09-03T04:40:00+0900,386
2024-09-03T04:30:00+0900,422
2024-09-03T04:20:00+0900,456
2024-09-03T04:10:00+0900,492
2024-09-03T04:00:00+0900,524
2024-09-03T03:50:00+0900,558
2024-09-03T03:40:00+0900,588
2024-09-03T03:30:00+0900,616
2024-09-03T03:20:00+0900,646
2024-09-03T03:10:00+0900,672
2024-09-03T03:00:00+0900,702
2024-09-03T02:50:00+0900,718
2024-09-03T02:40:00+0900,744
2024-09-03T02:30:00+0900,764
2024-09-03T02:20:00+0900,794
2024-09-03T02:10:00+0900,816
2024-09-03T02:00:00+0900,826
2024-09-03T01:50:00+0900,828
2024-09-03T01:40:00+0900,842
2024-09-03T01:30:00+0900,864
2024-09-03T01:20:00+0900,864
2024-09-03T01:10:00+0900,862
2024-09-03T01:00:00+0900,866
2024-09-03T00:50:00+0900,870
2024-09-03T00:40:00+0900,872
2024-09-03T00:30:00+0900,872
2024-09-03T00:20:00+0900,884
2024-09-03T00:10:00+0900,974
2024-09-03T00:00:00+0900,964
2024-09-02T23:50:00+0900,652
2024-09-02T23:40:00+0900,926
2024-09-02T23:30:00+0900,580
2024-09-02T23:20:00+0900,432
2024-09-02T23:10:00+0900,442
2024-09-02T23:00:00+0900,430
2024-09-02T22:50:00+0900,846
2024-09-02T22:40:00+0900,446
2024-09-02T22:30:00+0900,456
2024-09-02T22:20:00+0900,402
2024-09-02T22:10:00+0900,414
2024-09-02T22:00:00+0900,360
2024-09-02T21:50:00+0900,362
2024-09-02T21:40:00+0900,284
2024-09-02T21:30:00+0900,262
2024-09-02T21:20:00+0900,234
2024-09-02T21:10:00+0900,188
2024-09-02T21:00:00+0900,174
2024-09-02T20:50:00+0900,138
2024-09-02T20:40:00+0900,114
2024-09-02T20:30:00+0900,108
2024-09-02T20:20:00+0900,100
2024-09-02T20:10:00+0900,76
2024-09-02T20:00:00+0900,66
2024-09-02T19:50:00+0900,52
2024-09-02T19:40:00+0900,40
2024-09-02T19:30:00+0900,28
2024-09-02T19:20:00+0900,16
2024-09-02T19:10:00+0900,8
2024-09-02T19:00:00+0900,4
2024-09-02T18:50:00+0900,2
2024-09-02T18:40:00+0900,0
2024-09-02T18:30:00+0900,0
2024-09-02T18:20:00+0900,0
2024-09-02T18:10:00+0900,0
2024-09-02T18:00:00+0900,0
2024-09-02T17:50:00+0900,0
2024-09-02T17:40:00+0900,0
2024-09-02T17:30:00+0900,0
2024-09-02T17:20:00+0900,0
2024-09-02T17:10:00+0900,0
2024-09-02T17:00:00+0900,0
2024-09-02T16:50:00+0900,0
2024-09-02T16:40:00+0900,0
2024-09-02T16:30:00+0900,0
2024-09-02T16:20:00+0900,0
2024-09-02T16:10:00+0900,0
2024-09-02T16:00:00+0900,0
2024-09-02T15:50:00+0900,0
2024-09-02T15:40:00+0900,0
2024-09-02T15:30:00+0900,0
2024-09-02T15:20:00+0900,0
2024-09-02T15:10:00+0900,0
2024-09-02T15:00:00+0900,0
2024-09-02T14:50:00+0900,0
2024-09-02T14:40:00+0900,0
2024-09-02T14:30:00+0900,0
2024-09-02T14:20:00+0900,0
2024-09-02T14:10:00+0900,0
2024-09-02T14:00:00+0900,0
2024-09-02T13:50:00+0900,0
2024-09-02T13:40:00+0900,0
2024-09-02T13:30:00+0900,0
2024-09-02T13:20:00+0900,0
2024-09-02T13:10:00+0900,0
2024-09-02T13:00:00+0900,0
2024-09-02T12:50:00+0900,0
2024-09-02T12:40:00+0900,0
2024-09-02T12:30:00+0900,0
2024-09-02T12:20:00+0900,0
2024-09-02T12:10:00+0900,0
2024-09-02T12:00:00+0900,0
2024-09-02T11:50:00+0900,0
2024-09-02T11:40:00+0900,0
2024-09-02T11:30:00+0900,0
2024-09-02T11:20:00+0900,0
2024-09-02T11:10:00+0900,0
2024-09-02T11:00:00+0900,0
2024-09-02T10:50:00+0900,0
2024-09-02T10:40:00+0900,0
2024-09-02T10:30:00+0900,0
2024-09-02T10:20:00+0900,0
2024-09-02T10:10:00+0900,0
2024-09-02T10:00:00+0900,0
2024-09-02T09:50:00+0900,0
2024-09-02T09:40:00+0900,0
2024-09-02T09:30:00+0900,0
2024-09-02T09:20:00+0900,0
