"Date and time","Solar radiation (W/m2)(A1)"
2024-09-30T04:00:00+0900,572
2024-09-30T03:50:00+0900,616
2024-09-30T03:40:00+0900,660
2024-09-30T03:30:00+0900,676
2024-09-30T03:20:00+0900,702
2024-09-30T03:10:00+0900,724
2024-09-30T03:00:00+0900,774
2024-09-30T02:50:00+0900,792
2024-09-30T02:40:00+0900,816
2024-09-30T02:30:00+0900,704
2024-09-30T02:20:00+0900,842
2024-09-30T02:10:00+0900,810
2024-09-30T02:00:00+0900,878
2024-09-30T01:50:00+0900,896
2024-09-30T01:40:00+0900,920
2024-09-30T01:30:00+0900,936
2024-09-30T01:20:00+0900,946
2024-09-30T01:10:00+0900,938
2024-09-30T01:00:04+0900,942
2024-09-30T01:00:00+0900,956
2024-09-30T00:50:00+0900,952
2024-09-30T00:40:00+0900,952
2024-09-30T00:30:00+0900,952
2024-09-30T00:22:08+0900,950
2024-09-30T00:10:00+0900,946
2024-09-30T00:00:00+0900,940
2024-09-29T23:50:00+0900,932
2024-09-29T23:40:00+0900,924
2024-09-29T23:30:00+0900,910
2024-09-29T23:20:00+0900,894
2024-09-29T23:10:00+0900,880
2024-09-29T23:00:00+0900,862
2024-09-29T22:50:00+0900,842
2024-09-29T22:40:00+0900,820
2024-09-29T22:30:00+0900,798
2024-09-29T22:20:00+0900,776
2024-09-29T22:10:00+0900,748
2024-09-29T22:00:00+0900,720
2024-09-29T21:50:00+0900,692
2024-09-29T21:40:00+0900,664
2024-09-29T21:30:00+0900,634
2024-09-29T21:20:00+0900,600
2024-09-29T21:10:00+0900,568
2024-09-29T21:00:00+0900,532
2024-09-29T20:50:00+0900,496
2024-09-29T20:40:00+0900,460
2024-09-29T20:30:00+0900,422
2024-09-29T20:20:00+0900,386
2024-09-29T20:10:00+0900,346
2024-09-29T20:00:00+0900,312
2024-09-29T19:50:00+0900,268
2024-09-29T19:40:00+0900,232
2024-09-29T19:30:00+0900,54
2024-09-29T19:20:00+0900,132
2024-09-29T19:10:00+0900,126
2024-09-29T19:00:00+0900,78
2024-09-29T18:50:00+0900,68
2024-09-29T18:40:00+0900,42
2024-09-29T18:30:00+0900,20
2024-09-29T18:20:00+0900,6
2024-09-29T18:10:00+0900,0
2024-09-29T18:00:00+0900,0
2024-09-29T17:50:00+0900,0
2024-09-29T17:40:00+0900,0
2024-09-29T17:30:00+0900,0
2024-09-29T17:20:00+0900,0
2024-09-29T17:10:00+0900,0
2024-09-29T17:00:00+0900,0
2024-09-29T16:50:00+0900,0
2024-09-29T16:40:00+0900,0
2024-09-29T16:30:00+0900,0
2024-09-29T16:20:00+0900,0
2024-09-29T16:10:00+0900,0
2024-09-29T16:00:00+0900,0
2024-09-29T15:50:00+0900,0
2024-09-29T15:40:00+0900,0
2024-09-29T15:30:00+0900,0
2024-09-29T15:20:00+0900,0
2024-09-29T15:10:00+0900,0
2024-09-29T15:00:00+0900,0
