"Date and time","Solar radiation (W/m2)(A1)"
2024-09-27T01:00:00+0900,66
2024-09-27T00:50:00+0900,70
2024-09-27T00:40:00+0900,130
2024-09-27T00:30:00+0900,358
2024-09-27T00:20:00+0900,216
2024-09-27T00:10:00+0900,172
2024-09-27T00:00:00+0900,114
2024-09-26T23:50:00+0900,118
2024-09-26T23:40:00+0900,334
2024-09-26T23:30:00+0900,186
2024-09-26T23:20:00+0900,90
2024-09-26T23:10:00+0900,62
2024-09-26T23:00:00+0900,40
2024-09-26T22:50:00+0900,36
2024-09-26T22:40:00+0900,70
2024-09-26T22:30:00+0900,44
2024-09-26T22:20:00+0900,44
2024-09-26T22:10:00+0900,126
2024-09-26T22:00:00+0900,262
2024-09-26T21:50:00+0900,108
2024-09-26T21:40:00+0900,64
2024-09-26T21:30:00+0900,44
2024-09-26T21:20:00+0900,46
2024-09-26T21:10:00+0900,46
2024-09-26T21:00:00+0900,42
2024-09-26T20:50:00+0900,34
2024-09-26T20:40:00+0900,30
2024-09-26T20:30:00+0900,28
2024-09-26T20:20:00+0900,10
2024-09-26T20:10:00+0900,4
2024-09-26T20:00:05+0900,2
2024-09-26T20:00:00+0900,2
2024-09-26T19:50:00+0900,6
2024-09-26T19:40:00+0900,4
2024-09-26T19:30:00+0900,2
2024-09-26T19:20:00+0900,2
2024-09-26T19:10:00+0900,2
2024-09-26T19:00:00+0900,0
2024-09-26T18:50:00+0900,0
2024-09-26T18:40:00+0900,0
2024-09-26T18:30:00+0900,0
2024-09-26T18:20:00+0900,0
2024-09-26T18:10:00+0900,0
2024-09-26T18:00:00+0900,0
2024-09-26T17:50:00+0900,0
2024-09-26T17:40:00+0900,0
2024-09-26T17:30:00+0900,0
2024-09-26T17:20:00+0900,0
2024-09-26T17:10:00+0900,0
2024-09-26T17:00:00+0900,0
2024-09-26T16:50:00+0900,0
2024-09-26T16:40:00+0900,0
2024-09-26T16:30:00+0900,0
2024-09-26T16:20:00+0900,0
2024-09-26T16:10:00+0900,0
2024-09-26T16:00:00+0900,0
2024-09-26T15:50:00+0900,0
2024-09-26T15:40:00+0900,0
2024-09-26T15:30:00+0900,0
2024-09-26T15:20:00+0900,0
2024-09-26T15:10:00+0900,0
2024-09-26T15:00:00+0900,0
2024-09-26T14:50:00+0900,0
2024-09-26T14:40:00+0900,0
2024-09-26T14:30:00+0900,0
2024-09-26T14:20:00+0900,0
2024-09-26T14:10:00+0900,0
2024-09-26T14:00:00+0900,0
2024-09-26T13:50:00+0900,0
2024-09-26T13:40:00+0900,0
2024-09-26T13:30:00+0900,0
2024-09-26T13:20:00+0900,0
2024-09-26T13:10:00+0900,0
2024-09-26T13:00:00+0900,0
2024-09-26T12:50:00+0900,0
2024-09-26T12:40:00+0900,0
2024-09-26T12:30:00+0900,0
2024-09-26T12:20:00+0900,0
2024-09-26T12:10:00+0900,0
2024-09-26T12:00:00+0900,0
2024-09-26T11:50:00+0900,0
2024-09-26T11:40:00+0900,0
2024-09-26T11:30:00+0900,0
2024-09-26T11:20:00+0900,0
2024-09-26T11:10:00+0900,0
2024-09-26T11:00:00+0900,0
2024-09-26T10:50:00+0900,0
2024-09-26T10:40:00+0900,0
2024-09-26T10:30:00+0900,0
2024-09-26T10:20:00+0900,0
2024-09-26T10:10:00+0900,0
2024-09-26T10:00:00+0900,0
2024-09-26T09:50:00+0900,0
2024-09-26T09:40:00+0900,0
2024-09-26T09:30:00+0900,0
2024-09-26T09:20:00+0900,0
2024-09-26T09:10:00+0900,0
2024-09-26T09:00:00+0900,0
2024-09-26T08:50:00+0900,0
2024-09-26T08:40:00+0900,0
2024-09-26T08:30:00+0900,0
2024-09-26T08:20:00+0900,0
2024-09-26T08:10:00+0900,0
2024-09-26T08:00:00+0900,0
2024-09-26T07:50:00+0900,0
2024-09-26T07:40:00+0900,0
2024-09-26T07:30:00+0900,0
2024-09-26T07:20:00+0900,0
2024-09-26T07:10:00+0900,0
2024-09-26T07:00:00+0900,0
2024-09-26T06:50:00+0900,0
2024-09-26T06:40:00+0900,0
2024-09-26T06:30:00+0900,4
2024-09-26T06:20:00+0900,14
2024-09-26T06:10:00+0900,22
2024-09-26T06:00:00+0900,24
2024-09-26T05:50:00+0900,28
2024-09-26T05:40:00+0900,36
2024-09-26T05:30:00+0900,82
2024-09-26T05:20:00+0900,100
2024-09-26T05:10:00+0900,124
2024-09-26T05:00:00+0900,106
2024-09-26T04:50:00+0900,132
2024-09-26T04:40:00+0900,166
2024-09-26T04:30:00+0900,212
2024-09-26T04:20:00+0900,224
2024-09-26T04:10:00+0900,264
2024-09-26T04:00:00+0900,334
2024-09-26T03:50:00+0900,304
2024-09-26T03:40:00+0900,208
2024-09-26T03:30:00+0900,216
2024-09-26T03:20:00+0900,292
2024-09-26T03:10:00+0900,212
2024-09-26T03:00:00+0900,438
2024-09-26T02:50:00+0900,304
2024-09-26T02:40:00+0900,344
2024-09-26T02:30:00+0900,514
2024-09-26T02:20:00+0900,520
2024-09-26T02:10:00+0900,476
2024-09-26T02:00:00+0900,582
2024-09-26T01:50:00+0900,600
2024-09-26T01:40:00+0900,542
2024-09-26T01:30:00+0900,622
2024-09-26T01:20:00+0900,602
