"Date and time","Solar radiation (W/m2)(A1)"
2024-08-28T08:00:00+0900,0
2024-08-28T07:50:00+0900,0
2024-08-28T07:40:00+0900,0
2024-08-28T07:30:00+0900,0
2024-08-28T07:20:00+0900,0
2024-08-28T07:10:00+0900,0
2024-08-28T07:00:00+0900,0
2024-08-28T06:50:00+0900,0
2024-08-28T06:40:00+0900,0
2024-08-28T06:30:00+0900,0
2024-08-28T06:20:00+0900,2
2024-08-28T06:10:00+0900,10
2024-08-28T06:00:00+0900,18
2024-08-28T05:50:00+0900,32
2024-08-28T05:40:00+0900,40
2024-08-28T05:30:00+0900,68
2024-08-28T05:20:00+0900,86
2024-08-28T05:10:00+0900,110
2024-08-28T05:00:00+0900,130
2024-08-28T04:50:00+0900,142
2024-08-28T04:40:00+0900,130
2024-08-28T04:30:00+0900,90
2024-08-28T04:20:00+0900,448
2024-08-28T04:10:00+0900,480
2024-08-28T04:00:00+0900,516
2024-08-28T03:50:00+0900,548
2024-08-28T03:40:00+0900,580
2024-08-28T03:30:00+0900,608
2024-08-28T03:20:00+0900,640
2024-08-28T03:10:00+0900,670
2024-08-28T03:00:00+0900,704
2024-08-28T02:50:00+0900,728
2024-08-28T02:40:00+0900,756
2024-08-28T02:30:00+0900,730
2024-08-28T02:20:00+0900,878
2024-08-28T02:10:00+0900,724
2024-08-28T02:00:00+0900,562
2024-08-28T01:50:00+0900,884
2024-08-28T01:40:00+0900,880
2024-08-28T01:30:00+0900,882
2024-08-28T01:20:00+0900,842
2024-08-28T01:10:00+0900,874
2024-08-28T01:00:00+0900,890
2024-08-28T00:50:00+0900,820
2024-08-28T00:40:00+0900,778
2024-08-28T00:30:00+0900,836
2024-08-28T00:20:00+0900,766
2024-08-28T00:10:00+0900,846
2024-08-28T00:00:00+0900,850
2024-08-27T23:50:00+0900,820
2024-08-27T23:40:00+0900,832
2024-08-27T23:30:00+0900,778
2024-08-27T23:20:00+0900,794
2024-08-27T23:10:00+0900,770
2024-08-27T23:00:00+0900,710
2024-08-27T22:50:00+0900,738
2024-08-27T22:40:00+0900,702
2024-08-27T22:30:00+0900,676
2024-08-27T22:20:00+0900,650
2024-08-27T22:10:00+0900,622
2024-08-27T22:00:00+0900,592
2024-08-27T21:50:00+0900,562
2024-08-27T21:40:00+0900,542
2024-08-27T21:30:00+0900,502
2024-08-27T21:20:00+0900,464
2024-08-27T21:10:00+0900,428
2024-08-27T21:00:00+0900,390
2024-08-27T20:50:00+0900,352
2024-08-27T20:40:00+0900,314
2024-08-27T20:30:00+0900,278
2024-08-27T20:20:00+0900,242
2024-08-27T20:10:00+0900,204
2024-08-27T20:00:00+0900,72
2024-08-27T19:50:00+0900,30
2024-08-27T19:40:00+0900,90
2024-08-27T19:30:00+0900,22
2024-08-27T19:20:00+0900,18
2024-08-27T19:10:00+0900,12
2024-08-27T19:00:00+0900,6
2024-08-27T18:50:00+0900,2
2024-08-27T18:40:00+0900,0
2024-08-27T18:30:00+0900,0
2024-08-27T18:20:00+0900,0
2024-08-27T18:10:00+0900,0
2024-08-27T18:00:00+0900,0
2024-08-27T17:50:00+0900,0
2024-08-27T17:40:00+0900,0
2024-08-27T17:30:00+0900,0
2024-08-27T17:20:00+0900,0
2024-08-27T17:10:00+0900,0
2024-08-27T17:00:00+0900,0
2024-08-27T16:50:00+0900,0
2024-08-27T16:40:00+0900,0
2024-08-27T16:30:00+0900,0
2024-08-27T16:20:00+0900,0
2024-08-27T16:10:00+0900,0
2024-08-27T16:00:00+0900,0
2024-08-27T15:50:00+0900,0
2024-08-27T15:40:00+0900,0
2024-08-27T15:30:00+0900,0
2024-08-27T15:20:00+0900,0
2024-08-27T15:10:00+0900,0
2024-08-27T15:00:00+0900,0
2024-08-27T14:50:00+0900,0
2024-08-27T14:40:00+0900,0
2024-08-27T14:30:00+0900,0
2024-08-27T14:20:00+0900,0
2024-08-27T14:10:00+0900,0
2024-08-27T14:00:00+0900,0
2024-08-27T13:50:00+0900,0
2024-08-27T13:40:00+0900,0
2024-08-27T13:30:00+0900,0
2024-08-27T13:20:00+0900,0
2024-08-27T13:10:00+0900,0
2024-08-27T13:00:00+0900,0
2024-08-27T12:50:00+0900,0
2024-08-27T12:40:00+0900,0
2024-08-27T12:30:00+0900,0
2024-08-27T12:20:00+0900,0
2024-08-27T12:10:00+0900,0
2024-08-27T12:00:00+0900,0
2024-08-27T11:50:00+0900,0
2024-08-27T11:40:00+0900,0
2024-08-27T11:30:00+0900,0
2024-08-27T11:20:00+0900,0
2024-08-27T11:10:00+0900,0
2024-08-27T11:00:00+0900,0
2024-08-27T10:50:00+0900,0
2024-08-27T10:40:00+0900,0
2024-08-27T10:30:00+0900,0
2024-08-27T10:20:00+0900,0
2024-08-27T10:10:00+0900,0
2024-08-27T10:00:00+0900,0
2024-08-27T09:50:00+0900,0
2024-08-27T09:40:00+0900,0
2024-08-27T09:30:00+0900,0
2024-08-27T09:20:00+0900,0
2024-08-27T09:10:00+0900,0
2024-08-27T09:00:00+0900,0
2024-08-27T08:50:00+0900,0
2024-08-27T08:40:00+0900,0
2024-08-27T08:30:00+0900,0
2024-08-27T08:20:00+0900,0
2024-08-27T08:10:00+0900,0
2024-08-27T08:00:00+0900,0
2024-08-27T07:50:00+0900,0
2024-08-27T07:40:00+0900,0
2024-08-27T07:30:00+0900,0
2024-08-27T07:20:00+0900,0
2024-08-27T07:10:00+0900,0
2024-08-27T07:00:00+0900,0
2024-08-27T06:50:00+0900,0
2024-08-27T06:40:00+0900,0
2024-08-27T06:30:00+0900,2
2024-08-27T06:20:00+0900,12
2024-08-27T06:10:00+0900,46
2024-08-27T06:00:00+0900,80
2024-08-27T05:50:00+0900,114
2024-08-27T05:40:00+0900,146
2024-08-27T05:30:00+0900,184
2024-08-27T05:20:00+0900,220
2024-08-27T05:10:00+0900,256
2024-08-27T05:00:00+0900,296
2024-08-27T04:50:00+0900,334
2024-08-27T04:40:00+0900,370
2024-08-27T04:30:00+0900,406
2024-08-27T04:20:00+0900,442
2024-08-27T04:10:00+0900,474
2024-08-27T04:00:00+0900,508
2024-08-27T03:50:00+0900,540
2024-08-27T03:40:00+0900,568
2024-08-27T03:30:00+0900,598
2024-08-27T03:20:00+0900,624
2024-08-27T03:10:00+0900,650
2024-08-27T03:00:00+0900,674
2024-08-27T02:50:00+0900,700
2024-08-27T02:40:00+0900,722
2024-08-27T02:30:00+0900,752
2024-08-27T02:20:00+0900,760
2024-08-27T02:10:00+0900,776
2024-08-27T02:00:00+0900,794
2024-08-27T01:50:00+0900,806
2024-08-27T01:40:00+0900,810
2024-08-27T01:30:00+0900,822
2024-08-27T01:20:00+0900,846
2024-08-27T01:10:00+0900,836
2024-08-27T01:00:00+0900,840
2024-08-27T00:50:00+0900,844
2024-08-27T00:40:00+0900,850
2024-08-27T00:30:00+0900,846
2024-08-27T00:20:00+0900,844
2024-08-27T00:10:00+0900,834
2024-08-27T00:00:00+0900,826
2024-08-26T23:50:00+0900,818
2024-08-26T23:40:00+0900,806
2024-08-26T23:30:00+0900,794
2024-08-26T23:20:00+0900,772
2024-08-26T23:10:00+0900,756
2024-08-26T23:00:00+0900,742
2024-08-26T22:50:00+0900,718
2024-08-26T22:40:00+0900,696
2024-08-26T22:30:00+0900,668
2024-08-26T22:20:00+0900,642
2024-08-26T22:10:00+0900,616
2024-08-26T22:00:00+0900,586
2024-08-26T21:50:00+0900,556
2024-08-26T21:40:00+0900,522
2024-08-26T21:30:00+0900,488
2024-08-26T21:20:00+0900,456
2024-08-26T21:10:00+0900,418
2024-08-26T21:00:00+0900,384
2024-08-26T20:50:00+0900,348
2024-08-26T20:40:00+0900,308
2024-08-26T20:30:00+0900,272
2024-08-26T20:20:00+0900,236
2024-08-26T20:10:00+0900,200
2024-08-26T20:00:00+0900,132
2024-08-26T19:50:00+0900,36
2024-08-26T19:40:00+0900,36
2024-08-26T19:30:00+0900,22
2024-08-26T19:20:00+0900,18
2024-08-26T19:10:00+0900,12
2024-08-26T19:00:00+0900,6
2024-08-26T18:50:00+0900,0
2024-08-26T18:40:00+0900,0
2024-08-26T18:30:00+0900,0
2024-08-26T18:20:00+0900,0
2024-08-26T18:10:00+0900,0
2024-08-26T18:00:00+0900,0
2024-08-26T17:50:00+0900,0
2024-08-26T17:40:00+0900,0
2024-08-26T17:30:00+0900,0
2024-08-26T17:20:00+0900,0
2024-08-26T17:10:00+0900,0
2024-08-26T17:00:00+0900,0
2024-08-26T16:50:00+0900,0
2024-08-26T16:40:00+0900,0
2024-08-26T16:30:00+0900,0
2024-08-26T16:20:00+0900,0
2024-08-26T16:10:00+0900,0
2024-08-26T16:00:00+0900,0
2024-08-26T15:50:00+0900,0
2024-08-26T15:40:00+0900,0
2024-08-26T15:30:00+0900,0
2024-08-26T15:20:00+0900,0
2024-08-26T15:10:00+0900,0
2024-08-26T15:00:00+0900,0
2024-08-26T14:50:00+0900,0
2024-08-26T14:40:00+0900,0
2024-08-26T14:30:00+0900,0
2024-08-26T14:20:00+0900,0
2024-08-26T14:10:00+0900,0
2024-08-26T14:00:00+0900,0
2024-08-26T13:50:00+0900,0
2024-08-26T13:40:00+0900,0
2024-08-26T13:30:00+0900,0
2024-08-26T13:20:00+0900,0
2024-08-26T13:10:00+0900,0
2024-08-26T13:00:00+0900,0
2024-08-26T12:50:00+0900,0
2024-08-26T12:40:00+0900,0
2024-08-26T12:30:00+0900,0
2024-08-26T12:20:00+0900,0
2024-08-26T12:10:00+0900,0
2024-08-26T12:00:00+0900,0
2024-08-26T11:50:00+0900,0
2024-08-26T11:40:00+0900,0
2024-08-26T11:30:00+0900,0
2024-08-26T11:20:00+0900,0
2024-08-26T11:10:00+0900,0
2024-08-26T11:00:00+0900,0
2024-08-26T10:50:00+0900,0
2024-08-26T10:40:00+0900,0
2024-08-26T10:30:00+0900,0
2024-08-26T10:20:00+0900,0
2024-08-26T10:10:00+0900,0
2024-08-26T10:00:00+0900,0
2024-08-26T09:50:00+0900,0
2024-08-26T09:40:00+0900,0
2024-08-26T09:30:00+0900,0
2024-08-26T09:20:00+0900,0
2024-08-26T09:10:00+0900,0
2024-08-26T09:00:00+0900,0
2024-08-26T08:50:00+0900,0
2024-08-26T08:40:00+0900,0
2024-08-26T08:30:00+0900,0
2024-08-26T08:20:00+0900,0
2024-08-26T08:10:00+0900,0
2024-08-26T08:00:00+0900,0
2024-08-26T07:50:00+0900,0
2024-08-26T07:40:00+0900,0
2024-08-26T07:30:00+0900,0
2024-08-26T07:20:00+0900,0
2024-08-26T07:10:00+0900,0
2024-08-26T07:00:00+0900,0
2024-08-26T06:50:00+0900,0
2024-08-26T06:40:00+0900,0
2024-08-26T06:30:00+0900,2
2024-08-26T06:20:00+0900,10
2024-08-26T06:10:00+0900,32
2024-08-26T06:00:00+0900,32
2024-08-26T05:50:00+0900,102
2024-08-26T05:40:00+0900,32
2024-08-26T05:30:00+0900,68
2024-08-26T05:20:00+0900,182
2024-08-26T05:10:00+0900,264
2024-08-26T05:00:00+0900,306
2024-08-26T04:50:00+0900,170
2024-08-26T04:40:00+0900,408
2024-08-26T04:30:00+0900,98
2024-08-26T04:20:00+0900,476
2024-08-26T04:10:00+0900,198
2024-08-26T04:00:00+0900,142
2024-08-26T03:50:00+0900,212
2024-08-26T03:40:00+0900,660
2024-08-26T03:30:00+0900,830
2024-08-26T03:20:00+0900,758
2024-08-26T03:10:00+0900,846
2024-08-26T03:00:00+0900,908
2024-08-26T02:50:00+0900,816
2024-08-26T02:40:00+0900,302
2024-08-26T02:30:00+0900,282
2024-08-26T02:20:00+0900,396
2024-08-26T02:10:00+0900,1088
2024-08-26T02:00:00+0900,388
2024-08-26T01:50:00+0900,1030
2024-08-26T01:40:00+0900,306
2024-08-26T01:30:00+0900,964
2024-08-26T01:20:00+0900,1040
2024-08-26T01:10:00+0900,310
2024-08-26T01:00:00+0900,1070
2024-08-26T00:50:00+0900,190
2024-08-26T00:40:00+0900,366
2024-08-26T00:30:00+0900,1060
2024-08-26T00:20:00+0900,910
2024-08-26T00:10:00+0900,988
2024-08-26T00:00:00+0900,952
2024-08-25T23:50:00+0900,546
2024-08-25T23:40:00+0900,632
2024-08-25T23:30:00+0900,838
2024-08-25T23:20:00+0900,850
2024-08-25T23:10:00+0900,758
2024-08-25T23:00:00+0900,718
2024-08-25T22:50:00+0900,698
2024-08-25T22:40:00+0900,674
2024-08-25T22:30:00+0900,648
2024-08-25T22:20:00+0900,622
2024-08-25T22:10:00+0900,594
2024-08-25T22:00:00+0900,562
2024-08-25T21:50:00+0900,570
2024-08-25T21:40:00+0900,516
2024-08-25T21:30:00+0900,472
2024-08-25T21:20:00+0900,478
2024-08-25T21:10:00+0900,220
2024-08-25T21:00:00+0900,188
2024-08-25T20:50:00+0900,164
2024-08-25T20:40:00+0900,134
2024-08-25T20:30:00+0900,116
2024-08-25T20:20:00+0900,102
2024-08-25T20:10:00+0900,78
2024-08-25T20:00:00+0900,64
2024-08-25T19:50:00+0900,88
2024-08-25T19:40:00+0900,60
2024-08-25T19:30:00+0900,38
2024-08-25T19:20:00+0900,30
2024-08-25T19:10:00+0900,12
2024-08-25T19:00:00+0900,4
2024-08-25T18:50:00+0900,0
2024-08-25T18:40:00+0900,0
2024-08-25T18:30:00+0900,0
2024-08-25T18:20:00+0900,0
2024-08-25T18:10:00+0900,0
2024-08-25T18:00:00+0900,0
2024-08-25T17:50:00+0900,0
2024-08-25T17:40:00+0900,0
2024-08-25T17:30:00+0900,0
2024-08-25T17:20:00+0900,0
2024-08-25T17:10:00+0900,0
2024-08-25T17:00:00+0900,0
2024-08-25T16:50:00+0900,0
2024-08-25T16:40:00+0900,0
2024-08-25T16:30:00+0900,0
2024-08-25T16:20:00+0900,0
2024-08-25T16:10:00+0900,0
2024-08-25T16:00:00+0900,0
2024-08-25T15:50:00+0900,0
2024-08-25T15:40:00+0900,0
2024-08-25T15:30:00+0900,0
2024-08-25T15:20:00+0900,0
2024-08-25T15:10:00+0900,0
2024-08-25T15:00:00+0900,0
2024-08-25T14:50:00+0900,0
2024-08-25T14:40:00+0900,0
2024-08-25T14:30:00+0900,0
2024-08-25T14:20:00+0900,0
2024-08-25T14:10:00+0900,0
2024-08-25T14:00:00+0900,0
2024-08-25T13:50:00+0900,0
2024-08-25T13:40:00+0900,0
2024-08-25T13:30:00+0900,0
2024-08-25T13:20:00+0900,0
2024-08-25T13:10:00+0900,0
2024-08-25T13:00:00+0900,0
2024-08-25T12:50:00+0900,0
2024-08-25T12:40:00+0900,0
2024-08-25T12:30:00+0900,0
2024-08-25T12:20:00+0900,0
2024-08-25T12:10:00+0900,0
2024-08-25T12:00:00+0900,0
2024-08-25T11:50:00+0900,0
2024-08-25T11:40:00+0900,0
2024-08-25T11:30:00+0900,0
2024-08-25T11:20:00+0900,0
2024-08-25T11:10:00+0900,0
2024-08-25T11:00:00+0900,0
2024-08-25T10:50:00+0900,0
2024-08-25T10:40:00+0900,0
2024-08-25T10:30:00+0900,0
2024-08-25T10:20:00+0900,0
2024-08-25T10:10:00+0900,0
2024-08-25T10:00:00+0900,0
2024-08-25T09:50:00+0900,0
2024-08-25T09:40:00+0900,0
2024-08-25T09:30:00+0900,0
2024-08-25T09:20:00+0900,0
2024-08-25T09:10:00+0900,0
2024-08-25T09:00:00+0900,0
2024-08-25T08:50:00+0900,0
