"Date and time","Solar radiation (W/m2)(A1)"
2024-09-01T18:00:00+0900,0
2024-09-01T17:50:00+0900,0
2024-09-01T17:40:00+0900,0
2024-09-01T17:30:00+0900,0
2024-09-01T17:20:00+0900,0
2024-09-01T17:10:00+0900,0
2024-09-01T17:00:00+0900,0
2024-09-01T16:50:00+0900,0
2024-09-01T16:40:00+0900,0
2024-09-01T16:30:00+0900,0
2024-09-01T16:20:00+0900,0
2024-09-01T16:10:00+0900,0
2024-09-01T16:00:00+0900,0
2024-09-01T15:50:00+0900,0
2024-09-01T15:40:00+0900,0
2024-09-01T15:30:00+0900,0
2024-09-01T15:20:00+0900,0
2024-09-01T15:10:00+0900,0
2024-09-01T15:00:00+0900,0
2024-09-01T14:50:00+0900,0
2024-09-01T14:40:00+0900,0
2024-09-01T14:30:00+0900,0
2024-09-01T14:20:00+0900,0
2024-09-01T14:10:00+0900,0
2024-09-01T14:00:00+0900,0
2024-09-01T13:50:00+0900,0
2024-09-01T13:40:00+0900,0
2024-09-01T13:30:00+0900,0
2024-09-01T13:20:00+0900,0
2024-09-01T13:10:00+0900,0
2024-09-01T13:00:00+0900,0
2024-09-01T12:50:00+0900,0
2024-09-01T12:40:00+0900,0
2024-09-01T12:30:00+0900,0
2024-09-01T12:20:00+0900,0
2024-09-01T12:10:00+0900,0
2024-09-01T12:00:00+0900,0
2024-09-01T11:50:00+0900,0
2024-09-01T11:40:00+0900,0
2024-09-01T11:30:00+0900,0
2024-09-01T11:20:00+0900,0
2024-09-01T11:10:00+0900,0
2024-09-01T11:00:00+0900,0
2024-09-01T10:50:00+0900,0
2024-09-01T10:40:00+0900,0
2024-09-01T10:30:00+0900,0
2024-09-01T10:20:00+0900,0
2024-09-01T10:10:00+0900,0
2024-09-01T10:00:00+0900,0
2024-09-01T09:50:00+0900,0
2024-09-01T09:40:00+0900,0
2024-09-01T09:30:00+0900,0
2024-09-01T09:20:00+0900,0
2024-09-01T09:10:00+0900,0
2024-09-01T09:00:00+0900,0
2024-09-01T08:50:00+0900,0
2024-09-01T08:40:00+0900,0
2024-09-01T08:30:00+0900,256
2024-09-01T08:20:00+0900,288
2024-09-01T08:10:00+0900,318
2024-09-01T08:00:00+0900,332
2024-09-01T07:50:00+0900,414
2024-09-01T07:40:00+0900,406
2024-09-01T07:30:00+0900,432
2024-09-01T07:20:00+0900,626
2024-09-01T07:10:00+0900,320
2024-09-01T07:00:00+0900,542
2024-09-01T06:50:00+0900,104
2024-09-01T06:40:00+0900,60
2024-09-01T06:30:00+0900,266
2024-09-01T06:20:00+0900,206
2024-09-01T06:10:00+0900,210
2024-09-01T06:00:00+0900,218
2024-09-01T05:50:00+0900,232
2024-09-01T05:40:00+0900,230
2024-09-01T05:30:00+0900,202
2024-09-01T05:20:00+0900,192
2024-09-01T05:10:00+0900,190
2024-09-01T05:00:00+0900,174
2024-09-01T04:50:00+0900,162
2024-09-01T04:40:00+0900,194
2024-09-01T04:30:00+0900,174
2024-09-01T04:20:00+0900,174
2024-09-01T04:10:00+0900,178
2024-09-01T04:00:00+0900,176
2024-09-01T03:50:00+0900,174
2024-09-01T03:40:00+0900,176
2024-09-01T03:30:00+0900,186
2024-09-01T03:20:00+0900,190
2024-09-01T03:10:00+0900,204
2024-09-01T03:00:00+0900,212
2024-09-01T02:50:00+0900,212
2024-09-01T02:40:00+0900,220
2024-09-01T02:30:00+0900,224
2024-09-01T02:20:00+0900,228
2024-09-01T02:10:00+0900,228
2024-09-01T02:00:00+0900,232
2024-09-01T01:50:00+0900,232
2024-09-01T01:40:00+0900,236
2024-09-01T01:30:00+0900,234
2024-09-01T01:20:00+0900,238
2024-09-01T01:10:00+0900,242
2024-09-01T01:00:00+0900,246
2024-09-01T00:50:00+0900,244
2024-09-01T00:40:00+0900,248
2024-09-01T00:30:00+0900,246
2024-09-01T00:20:00+0900,244
2024-09-01T00:10:00+0900,244
2024-09-01T00:00:00+0900,238
2024-08-31T23:50:00+0900,236
2024-08-31T23:40:00+0900,238
2024-08-31T23:30:00+0900,236
2024-08-31T23:20:00+0900,234
2024-08-31T23:10:00+0900,234
2024-08-31T23:00:00+0900,234
2024-08-31T22:50:00+0900,230
2024-08-31T22:40:00+0900,226
2024-08-31T22:30:00+0900,224
2024-08-31T22:20:00+0900,222
2024-08-31T22:10:00+0900,222
2024-08-31T22:00:00+0900,218
2024-08-31T21:50:00+0900,214
2024-08-31T21:40:00+0900,216
2024-08-31T21:30:00+0900,218
2024-08-31T21:20:00+0900,212
2024-08-31T21:10:00+0900,206
2024-08-31T21:00:00+0900,190
2024-08-31T20:50:00+0900,178
2024-08-31T20:40:00+0900,186
2024-08-31T20:30:00+0900,184
2024-08-31T20:20:00+0900,168
2024-08-31T20:10:00+0900,192
2024-08-31T20:00:00+0900,172
2024-08-31T19:50:00+0900,196
2024-08-31T19:40:00+0900,182
2024-08-31T19:30:00+0900,182
2024-08-31T19:20:00+0900,122
2024-08-31T19:10:00+0900,192
2024-08-31T19:00:00+0900,120
2024-08-31T18:50:00+0900,240
2024-08-31T18:40:00+0900,140
2024-08-31T18:30:00+0900,166
2024-08-31T18:20:00+0900,126
2024-08-31T18:10:00+0900,148
2024-08-31T18:00:00+0900,164
2024-08-31T17:50:00+0900,162
2024-08-31T17:40:00+0900,118
2024-08-31T17:30:00+0900,142
2024-08-31T17:20:00+0900,110
2024-08-31T17:10:00+0900,110
2024-08-31T17:00:00+0900,56
2024-08-31T16:50:00+0900,30
2024-08-31T16:40:00+0900,66
2024-08-31T16:30:00+0900,24
2024-08-31T16:20:00+0900,60
2024-08-31T16:10:00+0900,0
2024-08-31T16:00:00+0900,0
2024-08-31T15:50:00+0900,0
2024-08-31T15:40:00+0900,44
2024-08-31T15:30:00+0900,0
2024-08-31T15:20:00+0900,0
2024-08-31T15:10:00+0900,0
2024-08-31T15:00:00+0900,0
2024-08-31T14:50:00+0900,0
2024-08-31T14:40:00+0900,0
2024-08-31T14:30:00+0900,0
2024-08-31T14:20:00+0900,0
2024-08-31T14:10:00+0900,0
2024-08-31T14:00:00+0900,0
2024-08-31T13:50:00+0900,0
2024-08-31T13:40:00+0900,0
2024-08-31T13:30:00+0900,0
2024-08-31T13:20:00+0900,0
2024-08-31T13:10:00+0900,0
2024-08-31T13:00:00+0900,0
2024-08-31T12:50:00+0900,0
2024-08-31T12:40:00+0900,0
2024-08-31T12:30:00+0900,0
2024-08-31T12:20:00+0900,0
2024-08-31T12:10:00+0900,0
2024-08-31T12:00:00+0900,0
2024-08-31T11:50:00+0900,0
2024-08-31T11:40:00+0900,0
2024-08-31T11:30:00+0900,0
2024-08-31T11:20:00+0900,0
2024-08-31T11:10:00+0900,0
2024-08-31T11:00:00+0900,0
2024-08-31T10:50:00+0900,0
2024-08-31T10:40:00+0900,0
2024-08-31T10:30:00+0900,0
2024-08-31T10:20:00+0900,0
2024-08-31T10:10:00+0900,0
2024-08-31T10:00:00+0900,0
2024-08-31T09:50:00+0900,0
2024-08-31T09:40:00+0900,132
2024-08-31T09:30:00+0900,138
2024-08-31T09:20:00+0900,142
2024-08-31T09:10:00+0900,146
2024-08-31T09:00:00+0900,150
2024-08-31T08:50:00+0900,154
2024-08-31T08:40:00+0900,162
2024-08-31T08:30:00+0900,166
2024-08-31T08:20:00+0900,170
2024-08-31T08:10:00+0900,174
